Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type
CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,2400.0,nM,=,2.4,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50
CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,5000.0,nM,=,5.0,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,720.0,nM,=,0.72,PASS,ChEMBL,IC50
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,940.0,nM,=,0.94,PASS,ChEMBL,IC50
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1.0,nM,=,0.001,PASS,ChEMBL,IC50
CHEMBL437688,O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,600.0,nM,=,0.6,PASS,ChEMBL,IC50
CHEMBL209159,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,340.0,nM,=,0.34,PASS,ChEMBL,IC50
CHEMBL211068,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,1000.0,nM,=,1.0,PASS,ChEMBL,IC50
CHEMBL208696,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,1350.0,nM,=,1.35,PASS,ChEMBL,IC50
CHEMBL210991,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,1250.0,nM,=,1.25,PASS,ChEMBL,IC50
CHEMBL211819,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,100.0,nM,=,0.1,PASS,ChEMBL,IC50
CHEMBL377104,Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,500.0,nM,=,0.5,PASS,ChEMBL,IC50
CHEMBL211768,O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,600.0,nM,=,0.6,PASS,ChEMBL,IC50
CHEMBL378999,N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,220.0,nM,=,0.22,PASS,ChEMBL,IC50
CHEMBL212119,O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,545.0,nM,=,0.545,PASS,ChEMBL,IC50
CHEMBL377175,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,455.0,nM,=,0.455,PASS,ChEMBL,IC50
CHEMBL377152,COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,210.0,nM,=,0.21,PASS,ChEMBL,IC50
CHEMBL211173,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3O)o2)S1,190.0,nM,=,0.19,PASS,ChEMBL,IC50
CHEMBL376984,O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,630.0,nM,=,0.63,PASS,ChEMBL,IC50
CHEMBL378528,O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1,185.0,nM,=,0.185,PASS,ChEMBL,IC50
CHEMBL211759,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1,3600.0,nM,=,3.6,PASS,ChEMBL,IC50
CHEMBL208662,O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,1800.0,nM,=,1.8,PASS,ChEMBL,IC50
CHEMBL208652,O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,330.0,nM,=,0.33,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,630.0,nM,=,0.63,PASS,ChEMBL,IC50
CHEMBL534951,Cl.O=C(O)COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,24.0,nM,=,0.024,PASS,ChEMBL,IC50
CHEMBL3215760,Cl.Cl.c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,79.0,nM,=,0.079,PASS,ChEMBL,IC50
CHEMBL3216006,Cl.Cl.c1cc(OCCN2CCOCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,16.0,nM,=,0.016,PASS,ChEMBL,IC50
CHEMBL3216005,Cl.Cl.c1cc(OCCN2CCCCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,170.0,nM,=,0.17,PASS,ChEMBL,IC50
CHEMBL537877,COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1.Cl,100.0,nM,=,0.1,PASS,ChEMBL,IC50
CHEMBL3216649,Cl.Cl.Nc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,140.0,nM,=,0.14,PASS,ChEMBL,IC50
CHEMBL541906,Cl.Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,26.0,nM,=,0.026,PASS,ChEMBL,IC50
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,3.6,nM,=,0.0036,PASS,ChEMBL,IC50
CHEMBL390623,Oc1ccccc1-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,400.0,nM,=,0.4,PASS,ChEMBL,IC50
CHEMBL541647,Cl.c1ccc2c(c1)sc1c(N3CCOCC3)ncnc12,2400.0,nM,=,2.4,PASS,ChEMBL,IC50
CHEMBL388480,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,160.0,nM,=,0.16,PASS,ChEMBL,IC50
CHEMBL230239,c1ccc(-c2nc(N3CCOCC3)c3sc4ncccc4c3n2)cc1,1700.0,nM,=,1.7,PASS,ChEMBL,IC50
CHEMBL230131,c1cnc2oc3c(N4CCOCC4)ncnc3c2c1,560.0,nM,=,0.56,PASS,ChEMBL,IC50
CHEMBL390850,c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,1400.0,nM,=,1.4,PASS,ChEMBL,IC50
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,2.5,nM,=,0.0025,PASS,ChEMBL,IC50
CHEMBL230011,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1300.0,nM,=,1.3,PASS,ChEMBL,IC50
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,7.8,nM,=,0.0078,PASS,ChEMBL,IC50
CHEMBL239050,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccn12,860.0,nM,=,0.86,PASS,ChEMBL,IC50
CHEMBL239051,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2n1CCCC2,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL397780,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2c(Br)cccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL397105,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2cc(Br)ccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
