Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,2400.0,nM,=,2.4,PASS,ChEMBL,IC50,RFWCIJWQGHFULK-UHFFFAOYSA-N
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50,CZQHHVNHHHRRDU-UHFFFAOYSA-N
CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,5000.0,nM,=,5.0,PASS,ChEMBL,IC50,JAMULYFATHSZJM-UHFFFAOYSA-N
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,940.0,nM,=,0.94,PASS,ChEMBL,IC50,OYYVWNDMOQPMGE-SDQBBNPISA-N
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1.0,nM,=,0.001,PASS,ChEMBL,IC50,QDLHCMPXEPAAMD-QAIWCSMKSA-N
CHEMBL437688,O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,600.0,nM,=,0.6,PASS,ChEMBL,IC50,WDMUMCYYKPXDEM-SDQBBNPISA-N
CHEMBL209159,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,340.0,nM,=,0.34,PASS,ChEMBL,IC50,NRUOQMAAFHGBEE-WZUFQYTHSA-N
CHEMBL211068,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,1000.0,nM,=,1.0,PASS,ChEMBL,IC50,YBVBYCQMXXTIRP-SDQBBNPISA-N
CHEMBL208696,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,1350.0,nM,=,1.35,PASS,ChEMBL,IC50,AEGDYADXTPTSAK-SDQBBNPISA-N
CHEMBL210991,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,1250.0,nM,=,1.25,PASS,ChEMBL,IC50,LHLYMMBFSIKWMS-WDZFZDKYSA-N
