Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,2400.0,nM,=,2.4,PASS,ChEMBL,IC50,RFWCIJWQGHFULK-UHFFFAOYSA-N,295.3380000000001,3.1713000000000022,42.68000000000001,1
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50,CZQHHVNHHHRRDU-UHFFFAOYSA-N,307.34900000000005,3.2966000000000024,42.68000000000001,2
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,940.0,nM,=,0.94,PASS,ChEMBL,IC50,OYYVWNDMOQPMGE-SDQBBNPISA-N,305.286,3.115200000000001,79.54,2
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1.0,nM,=,0.001,PASS,ChEMBL,IC50,QDLHCMPXEPAAMD-QAIWCSMKSA-N,428.4370000000003,2.5364000000000004,109.11000000000001,3
CHEMBL209159,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,340.0,nM,=,0.34,PASS,ChEMBL,IC50,NRUOQMAAFHGBEE-WZUFQYTHSA-N,339.344,3.7228000000000008,66.4,2
CHEMBL211068,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,1000.0,nM,=,1.0,PASS,ChEMBL,IC50,YBVBYCQMXXTIRP-SDQBBNPISA-N,305.286,3.1152000000000006,79.54,2
CHEMBL210991,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,1250.0,nM,=,1.25,PASS,ChEMBL,IC50,LHLYMMBFSIKWMS-WDZFZDKYSA-N,332.293,2.884300000000001,122.68,3
CHEMBL211819,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,100.0,nM,=,0.1,PASS,ChEMBL,IC50,VCBZVSWEFHPAJX-SDQBBNPISA-N,303.295,2.6817000000000006,99.77000000000001,2
CHEMBL377104,Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,500.0,nM,=,0.5,PASS,ChEMBL,IC50,CMZIHVRMPLWUAZ-QPEQYQDCSA-N,301.3230000000001,3.2845200000000023,79.54,2
CHEMBL211768,O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,600.0,nM,=,0.6,PASS,ChEMBL,IC50,SBGSKEOYYYCTJW-SDQBBNPISA-N,371.29200000000003,3.874700000000001,88.77000000000001,3
CHEMBL378999,N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,220.0,nM,=,0.22,PASS,ChEMBL,IC50,NPCCZSIFYWKTIW-MLPAPPSSSA-N,312.30600000000004,2.847780000000001,103.33,2
CHEMBL212119,O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,545.0,nM,=,0.545,PASS,ChEMBL,IC50,TYJXVOWPGAWAHU-SDQBBNPISA-N,321.74100000000004,3.6295000000000015,79.54,2
CHEMBL377175,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,455.0,nM,=,0.455,PASS,ChEMBL,IC50,IQDLOUNBMCMZPG-SDQBBNPISA-N,305.286,3.115200000000001,79.54,2
CHEMBL377152,COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,210.0,nM,=,0.21,PASS,ChEMBL,IC50,HWGAIJRGZSBQBB-QPEQYQDCSA-N,345.33200000000005,2.7627000000000006,105.84,3
CHEMBL211173,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3O)o2)S1,190.0,nM,=,0.19,PASS,ChEMBL,IC50,YICAXAAHZCUKRE-UHFFFAOYSA-N,303.295,2.6817000000000006,99.77000000000001,2
CHEMBL376984,O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,630.0,nM,=,0.63,PASS,ChEMBL,IC50,PKZILUHLGGTGRZ-WDZFZDKYSA-N,272.28499999999997,2.6655000000000006,72.2,2
CHEMBL378528,O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1,185.0,nM,=,0.185,PASS,ChEMBL,IC50,URQJIVCOWCHMCI-XFFZJAGNSA-N,272.28499999999997,2.6655000000000006,72.2,2
CHEMBL211759,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1,3600.0,nM,=,3.6,PASS,ChEMBL,IC50,JDXZYRMTBWZRKH-GHXNOFRVSA-N,287.296,2.9761000000000006,79.54,2
CHEMBL208662,O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,1800.0,nM,=,1.8,PASS,ChEMBL,IC50,NIGGPHOUZYQQAL-GHXNOFRVSA-N,287.296,2.9761000000000006,79.54,2
CHEMBL208652,O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,330.0,nM,=,0.33,PASS,ChEMBL,IC50,OCDGTZUIGBFFHU-GHXNOFRVSA-N,287.296,2.976100000000001,79.54,2
CHEMBL534951,O=C(O)COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,24.0,nM,=,0.024,PASS,ChEMBL,IC50,ZOFFAGHBGPHINF-UHFFFAOYSA-N,406.39800000000014,2.7380000000000004,110.81,5
CHEMBL3215760,c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,79.0,nM,=,0.079,PASS,ChEMBL,IC50,FDLHELHOOAIWIF-UHFFFAOYSA-N,477.5900000000003,3.702200000000002,76.75,6
CHEMBL3216006,c1cc(OCCN2CCOCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,16.0,nM,=,0.016,PASS,ChEMBL,IC50,HXFUIPAMECNQOQ-UHFFFAOYSA-N,461.52200000000033,2.9856000000000007,85.98,6
CHEMBL3216005,c1cc(OCCN2CCCCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,170.0,nM,=,0.17,PASS,ChEMBL,IC50,JNXSKIADTKCJLW-UHFFFAOYSA-N,459.5500000000003,4.139300000000003,76.75,6
CHEMBL537877,COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,100.0,nM,=,0.1,PASS,ChEMBL,IC50,JIXRGOVACNEBTD-UHFFFAOYSA-N,362.389,3.2832000000000017,73.51,3
CHEMBL3216649,Nc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,140.0,nM,=,0.14,PASS,ChEMBL,IC50,RQPKSOWRJPRYCN-UHFFFAOYSA-N,347.378,2.8568000000000007,90.3,2
CHEMBL541906,Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,26.0,nM,=,0.026,PASS,ChEMBL,IC50,CCCHXFXRXKOQKH-UHFFFAOYSA-N,348.362,2.980200000000001,84.51,2
CHEMBL538346,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,3.6,nM,=,0.0036,PASS,ChEMBL,IC50,TUVCWJQQGGETHL-UHFFFAOYSA-N,348.36199999999997,2.980200000000001,84.51,2
CHEMBL390623,Oc1ccccc1-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,400.0,nM,=,0.4,PASS,ChEMBL,IC50,OWJSSUTXEPXHHS-UHFFFAOYSA-N,348.362,2.980200000000001,84.51,2
CHEMBL541647,c1ccc2c(c1)sc1c(N3CCOCC3)ncnc12,2400.0,nM,=,2.4,PASS,ChEMBL,IC50,LJEPZSLDJIZVIO-UHFFFAOYSA-N,271.34499999999997,2.6811,38.25,1
CHEMBL388480,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,160.0,nM,=,0.16,PASS,ChEMBL,IC50,NVQCHUVXJRWAFQ-UHFFFAOYSA-N,332.363,3.2746000000000013,64.28,2
CHEMBL230239,c1ccc(-c2nc(N3CCOCC3)c3sc4ncccc4c3n2)cc1,1700.0,nM,=,1.7,PASS,ChEMBL,IC50,KABUJZYOOVQZPG-UHFFFAOYSA-N,348.43100000000004,3.7431000000000028,51.14,2
CHEMBL230131,c1cnc2oc3c(N4CCOCC4)ncnc3c2c1,560.0,nM,=,0.56,PASS,ChEMBL,IC50,MICIOIFPRCWFRQ-UHFFFAOYSA-N,256.26499999999993,1.6075999999999997,64.28,1
CHEMBL390850,c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,1400.0,nM,=,1.4,PASS,ChEMBL,IC50,AWGGGZJVYBRJGU-UHFFFAOYSA-N,272.33299999999997,2.0761,51.14,1
CHEMBL541643,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,2.5,nM,=,0.0025,PASS,ChEMBL,IC50,XXLAEKOWCYJOKK-UHFFFAOYSA-N,313.38199999999995,2.900500000000001,58.480000000000004,2
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,7.8,nM,=,0.0078,PASS,ChEMBL,IC50,QTHCAAFKVUWAFI-DJKKODMXSA-N,452.2900000000001,2.968020000000001,110.17999999999999,5
CHEMBL239050,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccn12,860.0,nM,=,0.86,PASS,ChEMBL,IC50,XQMVGASZQFWMGU-WOJGMQOQSA-N,373.39400000000006,2.20552,110.17999999999999,5
CHEMBL239051,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2n1CCCC2,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,TVSPMOBQMRBHKM-WOJGMQOQSA-N,377.4260000000002,2.09062,110.69999999999999,5
CHEMBL397780,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2c(Br)cccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,YWACQWOZGPPFKN-UFFVCSGVSA-N,463.3130000000001,3.868520000000003,105.77,5
CHEMBL397105,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2cc(Br)ccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,LTENZSCRXMTCGU-SRZZPIQSSA-N,463.3130000000001,3.868520000000003,105.77,5
CHEMBL240336,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccc(Br)cc12,2200.0,nM,=,2.2,PASS,ChEMBL,IC50,ZZRQEQBBIOJFEF-SRZZPIQSSA-N,463.3130000000001,3.868520000000003,105.77,5
CHEMBL240335,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccccc12,800.0,nM,=,0.8,PASS,ChEMBL,IC50,WIIIUNYKSWAJNS-UDWIEESQSA-N,384.4170000000001,3.106020000000002,105.77,5
