Original_ID,SMILES,Source,InChIKey,MW,LogP,TPSA,RotBonds,Activity_Label
CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,ChEMBL,RFWCIJWQGHFULK-UHFFFAOYSA-N,295.3380000000001,3.1713000000000022,42.68000000000001,1,Active
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,ChEMBL,CZQHHVNHHHRRDU-UHFFFAOYSA-N,307.34900000000005,3.2966000000000024,42.68000000000001,2,Active
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,ChEMBL,OYYVWNDMOQPMGE-SDQBBNPISA-N,305.286,3.115200000000001,79.54,2,Active
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,ChEMBL,QDLHCMPXEPAAMD-QAIWCSMKSA-N,428.4370000000003,2.5364000000000004,109.11,3,Active
CHEMBL209159,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,ChEMBL,NRUOQMAAFHGBEE-WZUFQYTHSA-N,339.344,3.7228000000000008,66.4,2,Active
CHEMBL211068,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,ChEMBL,YBVBYCQMXXTIRP-SDQBBNPISA-N,305.286,3.1152000000000006,79.54,2,Active
CHEMBL210991,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,ChEMBL,LHLYMMBFSIKWMS-WDZFZDKYSA-N,332.293,2.884300000000001,122.68,3,Active
CHEMBL211819,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,ChEMBL,VCBZVSWEFHPAJX-SDQBBNPISA-N,303.295,2.6817000000000006,99.77,2,Active
CHEMBL377104,Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,ChEMBL,CMZIHVRMPLWUAZ-QPEQYQDCSA-N,301.3230000000001,3.2845200000000023,79.54,2,Active
CHEMBL211768,O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,ChEMBL,SBGSKEOYYYCTJW-SDQBBNPISA-N,371.292,3.874700000000001,88.77000000000001,3,Active
CHEMBL378999,N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,ChEMBL,NPCCZSIFYWKTIW-MLPAPPSSSA-N,312.30600000000004,2.847780000000001,103.33,2,Active
CHEMBL212119,O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,ChEMBL,TYJXVOWPGAWAHU-SDQBBNPISA-N,321.74100000000004,3.6295000000000015,79.54,2,Active
CHEMBL377175,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,ChEMBL,IQDLOUNBMCMZPG-SDQBBNPISA-N,305.286,3.115200000000001,79.54,2,Active
CHEMBL377152,COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,ChEMBL,HWGAIJRGZSBQBB-QPEQYQDCSA-N,345.33200000000005,2.7627000000000006,105.84,3,Active
CHEMBL211173,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3O)o2)S1,ChEMBL,YICAXAAHZCUKRE-UHFFFAOYSA-N,303.295,2.6817000000000006,99.77,2,Active
CHEMBL376984,O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,ChEMBL,PKZILUHLGGTGRZ-WDZFZDKYSA-N,272.285,2.6655000000000006,72.2,2,Active
