Original_ID,SMILES,Source,InChIKey,MW,LogP,TPSA,RotBonds,Activity_Label
CHEMBL1213082,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc32)nc2cccc(C)c2c1=O,ChEMBL,GNWHRHGTIBRNSM-UHFFFAOYSA-N,397.4420000000002,2.7727400000000006,104.51,3,Inactive
CHEMBL2030444,COCc1cccc(-c2nc(CS(C)(=O)=O)cc(N3CCOCC3)n2)c1,ChEMBL,XZABOXATXRNWCX-UHFFFAOYSA-N,377.4660000000002,1.6712,81.62,6,Inactive
CHEMBL2030440,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccccc2)n1,ChEMBL,ATWTWEBSSHJSEC-UHFFFAOYSA-N,333.41299999999995,1.5248,72.39,4,Inactive
CHEMBL2158425,O=c1cc(NCc2ccccc2)[nH]c(N2CCOCC2)n1,ChEMBL,XQOHBICEMVPHEZ-UHFFFAOYSA-N,286.3350000000001,1.2185999999999997,70.25,4,Inactive
CHEMBL2158434,COC(=O)c1cc(NCc2ccccc2)nc(N2CCOCC2)c1,ChEMBL,UVHCZKGPWKCXLX-UHFFFAOYSA-N,327.3840000000002,2.3169000000000004,63.69,5,Inactive
CHEMBL2158445,C[C@@H](Nc1cc(N2CCOCC2)[nH]c(=O)n1)c1cccc2ccccc12,ChEMBL,HAQACYJAMKDIEN-CQSZACIVSA-N,350.422,2.932800000000001,70.25,4,Inactive
CHEMBL2158426,O=c1cc(NCc2ccccc2)[nH]c(N2CCOCC2)c1,ChEMBL,FODTWJXYQNCEAR-UHFFFAOYSA-N,285.3470000000001,1.8236,57.36,4,Inactive
CHEMBL2158435,OCc1cc(NCc2ccccc2)nc(N2CCOCC2)c1,ChEMBL,OQUKCPQYJNVADS-UHFFFAOYSA-N,299.3740000000001,2.0226,57.620000000000005,5,Inactive
CHEMBL2165190,C[C@@H]1CN(c2cc(N(CCO)Cc3cccc4ccccc34)[nH]c(=O)n2)CCO1,ChEMBL,KXFCSDGILURUCG-MRXNPFEDSA-N,394.47500000000014,2.1471,81.69000000000001,6,Inactive
CHEMBL2165186,CC(C)(CO)CN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)[nH]c(=O)n1,ChEMBL,CLYZSTQQUNQUEY-UHFFFAOYSA-N,422.5290000000003,2.7848000000000006,81.69,7,Inactive
CHEMBL2165184,CCC(O)CN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)[nH]c(=O)n1,ChEMBL,VJPTWKQSAYIWRD-UHFFFAOYSA-N,408.5020000000003,2.5371999999999995,81.69,7,Inactive
