Original_ID,SMILES,SMILES_Original,Activity,Source,InChIKey,MW,LogP,TPSA,RotBonds
PubChem_2690,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,Active,PubChem,MSJODEOZODDVGW-UHFFFAOYSA-N,285.694,2.7731000000000012,82.24,1
PubChem_3973,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,Active,PubChem,CZQHHVNHHHRRDU-UHFFFAOYSA-N,307.34900000000005,3.2966000000000024,42.68000000000001,2
PubChem_20885,COc1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,Active,PubChem,JLZIIHMTTRXXIN-UHFFFAOYSA-N,272.256,2.33,83.83000000000001,4
PubChem_44259,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,Active,PubChem,HKSZLNNOFSGOKW-FYTWVXJKSA-N,466.5410000000003,4.354000000000003,69.45,2
PubChem_124337,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)C(=O)C[C@H]2O)CCC4=O,C[C@]12[C@@H](CC(=O)C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)O,Active,PubChem,SWJBYJJNDIXFSA-KUHUBIRLSA-N,322.3160000000001,2.2062,84.58000000000001,0
PubChem_126565,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,Active,PubChem,UIARLYUEJFELEN-LROUJFHJSA-N,439.47100000000023,3.474400000000002,88.65,1
PubChem_223355,Nc1nc(N)c2nc(-c3ccccc3)c(-c3ccccc3)nc2n1,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2C4=CC=CC=C4)N)N,Active,PubChem,DDZJPETYMUJLIW-UHFFFAOYSA-N,314.3520000000001,2.9182000000000015,103.6,2
PubChem_312145,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,Active,PubChem,QDLHCMPXEPAAMD-QAIWCSMKSA-N,428.4370000000003,2.5364000000000004,109.11000000000001,3
PubChem_445154,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Active,PubChem,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,228.247,2.9738000000000016,60.69,2
PubChem_447966,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,Active,PubChem,IBCXZJCWDGCXQT-UHFFFAOYSA-N,272.31100000000004,3.6869000000000014,54.46,2
