CID,Activity,Assay_Count,SMILES
2690,Active,1,
3220,Active,4,
3973,Active,36,
20885,Active,4,
44259,Active,1,
65064,Active,1,
124337,Active,1,
126565,Active,14,
223355,Active,1,
249363,Active,1,
312145,Active,17,
403176,Inactive,1,
445154,Active,1,
447966,Active,1,
566479,Inactive,1,
617191,Active,1,
622262,Active,3,
830673,Active,1,
1018277,Active,1,
1627922,Active,1,
1893730,Active,1,
2819874,Active,1,
2823822,Active,1,
3100191,Active,1,
3816490,Active,1,
4416330,Active,1,
5025739,Inactive,10,
5278396,Active,1,
5280343,Active,4,
5281222,Active,1,
5281672,Active,4,
5281680,Active,1,
5284616,Active,1,
5287855,Active,1,
5289247,Active,3,
5310991,Inactive,10,
6419753,Active,1,
6451154,Inactive,10,
6538897,Active,1,
6610350,Active,1,
6852167,Active,2,
7196852,Active,1,
7519842,Active,1,
8547141,Inactive,1,
9815659,Active,1,
9829523,Active,2,
9837640,Inactive,10,
9849735,Active,1,
9858940,Active,1,
9867340,Active,1,
9879653,Active,1,
9884685,Active,52,
9901372,Active,5,
9907093,Active,5,
9915028,Inactive,10,
9922221,Active,1,
9934678,Active,2,
10002774,Active,1,
10017389,Active,1,
10021687,Active,1,
10039361,Inactive,1,
10066542,Active,1,
10088066,Active,1,
10125446,Active,1,
10139567,Active,1,
10269329,Active,1,
10271535,Active,1,
10271745,Active,1,
10275789,Active,5,
10278851,Inactive,10,
10357196,Active,1,
10383101,Inactive,1,
10405525,Active,1,
10427712,Active,14,
10432948,Active,1,
10475366,Active,1,
11230964,Active,1,
11234514,Active,1,
11327430,Active,4,
11364870,Inactive,10,
11386747,Inactive,10,
11398307,Active,1,
11418892,Active,2,
11419728,Active,1,
11428504,Active,2,
11492951,Active,1,
11514586,Active,1,
11515474,Active,1,
11522078,Active,1,
11524200,Inactive,11,
11525848,Inactive,10,
11526786,Active,3,
11529859,Active,1,
11530037,Active,1,
11532472,Active,2,
11536358,Active,1,
11537281,Inactive,1,
11538455,Active,1,
11539769,Active,2,
11541283,Active,1,
11543481,Active,1,
11550986,Active,1,
11551198,Active,1,
11556021,Active,1,
11562853,Active,1,
11566902,Active,1,
11576772,Active,1,
11577204,Inactive,8,
11581007,Active,1,
11599141,Active,1,
11601890,Active,1,
11601930,Active,1,
11625818,Active,28,
11630874,Active,2,
11638999,Active,2,
11645168,Active,1,
11647372,Active,27,
11652531,Active,1,
11666231,Active,1,
11669062,Active,2,
11702204,Active,1,
11751126,Active,1,
11772152,Inactive,10,
11955205,Active,2,
11955693,Active,1,
11955695,Active,2,
11964036,Active,1,
11977753,Active,29,
11978790,Active,3,
11979157,Active,1,
11996298,Inactive,10,
11998445,Active,1,
11998447,Active,1,
11998448,Active,1,
11998563,Active,1,
11998564,Active,1,
11998565,Active,1,
11998685,Active,1,
11998690,Active,1,
11998803,Active,2,
11999032,Active,3,
12171624,Active,1,
14638904,Active,1,
16048654,Active,1,
16049456,Active,1,
16049458,Active,2,
16049526,Active,1,
16066756,Active,1,
16081736,Active,1,
16123056,Active,4,
16222214,Active,1,
16222322,Active,1,
16456450,Active,2,
16456451,Active,1,
16456544,Active,1,
16456632,Inactive,1,
16654980,Active,26,
16722836,Active,1,
16730272,Active,1,
16730347,Active,1,
16730437,Active,1,
16736978,Active,2,
16739368,Active,1,
16757570,Active,2,
16757576,Active,1,
16757577,Active,2,
16760513,Inactive,1,
16801460,Active,1,
17751063,Active,3,
