CID,Activity,Assay_Count,SMILES
2690,Active,1,C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N
3220,Active,4,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
3973,Active,36,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
20885,Active,4,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O
44259,Active,1,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
65064,Active,1,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
124337,Active,1,C[C@]12[C@@H](CC(=O)C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)O
126565,Active,14,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
223355,Active,1,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2C4=CC=CC=C4)N)N
249363,Active,1,C1=CC(=CC=C1C2=NC3=C(N=C(N=C3N=C2C4=CC=C(C=C4)O)N)N)O
312145,Active,17,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
403176,Inactive,1,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=C(C=C4)I)O)N=O
445154,Active,1,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
447966,Active,1,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4
566479,Inactive,1,C1=CSC(=C1)CC2=NC(=NO2)C3=NON=C3N
617191,Active,1,C1CC2=C(C(=O)C1)SC(=N2)N3CCOCC3
622262,Active,3,CC1(CC2=C(C(=O)C1)SC(=N2)N3CCOCC3)C
830673,Active,1,CN1C2=C3C(=CC=C4C3=C(C=C4)C=C2)N(C1=O)C
1018277,Active,1,C1COCCN1C2=NC(=NC(=N2)N3C=CC=N3)NC4=CC(=CC=C4)Cl
1627922,Active,1,COC1=CC(=CC(=C1)NC2=NC3=CC=CC=C3N=C2NS(=O)(=O)C4=CC=C(C=C4)F)OC
1893730,Active,1,CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=CC5=NSN=C5C=C4
2819874,Active,1,C1COCCN1C2=C(C(=C(S2)C(=O)O)C3=CC=C(C=C3)Cl)C#N
2823822,Active,1,C1COCCN1C2=NC=NC3=C2SC4=C3C=CC=N4
